Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
AdaBoostClassifier,0.6652542372881356,0.647387518142235,0.647387518142235,0.6532486548971309,7.318193435668945
XGBClassifier,0.6398305084745762,0.6260522496371552,0.6260522496371553,0.6325512963232314,5.7247912883758545
BernoulliNB,0.6228813559322034,0.621988388969521,0.621988388969521,0.6236913098846655,0.0418398380279541
NearestCentroid,0.6186440677966102,0.6172714078374455,0.6172714078374455,0.6193878812885911,0.17508292198181152
LinearSVC,0.614406779661017,0.6134252539912917,0.6134252539912918,0.6152349348258939,1.5586512088775635
RidgeClassifierCV,0.614406779661017,0.6108127721335268,0.6108127721335268,0.6145675396093156,0.9913098812103271
LGBMClassifier,0.6186440677966102,0.6068214804063861,0.6068214804063861,0.61329835310504,1.2581629753112793
LogisticRegression,0.6059322033898306,0.6022496371552974,0.6022496371552974,0.6060964965238061,0.16803812980651855
ExtraTreeClassifier,0.597457627118644,0.5971698113207546,0.5971698113207548,0.5984372961409978,0.04247117042541504
RandomForestClassifier,0.6101694915254238,0.5947750362844703,0.5947750362844703,0.6006428417582054,2.64736008644104
SVC,0.6101694915254238,0.593033381712627,0.593033381712627,0.5982042504543966,0.29472923278808594
RidgeClassifier,0.5932203389830508,0.5924528301886792,0.5924528301886792,0.5941595128035806,0.15635895729064941
SGDClassifier,0.597457627118644,0.5919448476052249,0.5919448476052249,0.5968644360730461,0.191115140914917
GaussianNB,0.5889830508474576,0.5868650217706821,0.5868650217706821,0.5896886912227985,0.04007840156555176
LinearDiscriminantAnalysis,0.5847457627118644,0.5830188679245283,0.5830188679245283,0.5855556929586881,1.4711918830871582
ExtraTreesClassifier,0.5932203389830508,0.5802612481857765,0.5802612481857765,0.5865617433414044,0.44969677925109863
PassiveAggressiveClassifier,0.559322033898305,0.5564586357039187,0.5564586357039187,0.5599595888261143,0.11561727523803711
NuSVC,0.5635593220338984,0.5559506531204644,0.5559506531204644,0.5618290283074227,0.34305286407470703
BaggingClassifier,0.559322033898305,0.5547169811320755,0.5547169811320755,0.559322033898305,5.4984893798828125
Perceptron,0.5508474576271186,0.5461538461538462,0.5461538461538462,0.5508474576271186,0.08983206748962402
DecisionTreeClassifier,0.5423728813559322,0.53933236574746,0.5393323657474601,0.5430349576271186,1.0862095355987549
KNeighborsClassifier,0.5338983050847458,0.5316400580551524,0.5316400580551524,0.5348074104638335,0.044053077697753906
CalibratedClassifierCV,0.5677966101694916,0.5197387518142236,0.5197387518142236,0.43487691686844226,4.297261714935303
LabelPropagation,0.4491525423728814,0.5,0.5,0.27842204381009017,0.1389293670654297
DummyClassifier,0.5508474576271186,0.5,0.5,0.3913124015930351,0.03280806541442871
LabelSpreading,0.4491525423728814,0.5,0.5,0.27842204381009017,0.21531081199645996
QuadraticDiscriminantAnalysis,0.5508474576271186,0.5,0.5,0.3913124015930351,4.4556944370269775
