timestamp,angular_velocity.x,angular_velocity.y,angular_velocity.z,linear_acceleration.x,linear_acceleration.y,linear_acceleration.z
0.0,9.72897032625042e-06,-2.658932498889044e-05,0.0017291877884417,0.1106352061033248,-9.709287643432615,-0.1982956826686859
0.005002498626708984,-0.003480929415673,0.0034640692174434,-1.6141464584507048e-05,0.0704930648207664,-9.729947090148926,-0.1995485424995422
0.010004997253417969,-0.0052262586541473,-2.658932498889044e-05,0.0017291877884417,0.1100581139326095,-9.730728149414062,-0.2386865317821502
0.015007257461547852,-0.0017356002936139,0.0017187398625537,-1.6141464584507048e-05,0.070765696465969,-9.689969062805176,-0.1987492144107818
0.020009517669677734,9.72897032625042e-06,-2.658932498889044e-05,0.0017291877884417,0.0900552123785018,-9.73106288909912,-0.2391131222248077
0.025012969970703125,9.72897032625042e-06,-2.658932498889044e-05,-1.6141464584507048e-05,0.070986084640026,-9.689242362976074,-0.1787536144256591
0.030015230178833008,-0.0017356002936139,-2.658932498889044e-05,0.0017291877884417,0.1103307455778122,-9.690750122070312,-0.2378871887922287
0.03501749038696289,9.72897032625042e-06,0.0017187398625537,0.0017291877884417,0.0907686203718185,-9.6896333694458,-0.1983226239681244
0.04001879692077637,9.72897032625042e-06,-2.658932498889044e-05,-1.6141464584507048e-05,0.0704930648207664,-9.729947090148926,-0.1995485424995422
0.04502224922180176,9.72897032625042e-06,-2.658932498889044e-05,-1.6141464584507048e-05,0.0905482321977615,-9.690359115600586,-0.2183181941509246
0.05002450942993164,-0.0017356002936139,-2.658932498889044e-05,-1.6141464584507048e-05,0.1104148179292678,-9.710013389587402,-0.2182912677526474
0.05502676963806152,9.72897032625042e-06,0.0017187398625537,-1.6141464584507048e-05,0.0900552123785018,-9.73106288909912,-0.2391131222248077
0.060029029846191406,9.72897032625042e-06,0.0034640692174434,-1.6141464584507048e-05,0.0708497688174247,-9.70923137664795,-0.1791532933712005
0.06503129005432129,-0.003480929415673,-2.658932498889044e-05,-1.6141464584507048e-05,0.1099740415811538,-9.711465835571287,-0.2582824230194092
0.07003355026245117,9.72897032625042e-06,-2.658932498889044e-05,-0.0035067999269813,0.0905482321977615,-9.690359115600586,-0.2183181941509246
0.07503604888916016,-0.0017356002936139,0.0017187398625537,-1.6141464584507048e-05,0.0702726766467094,-9.730672836303713,-0.2195441275835037
