Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
NuSVC,0.7683823529411765,0.7683823529411765,0.7683823529411765,0.756946512914344,0.3807189464569092
KNeighborsClassifier,0.7683823529411765,0.7683823529411764,0.7683823529411764,0.7635206933193492,0.0492548942565918
SVC,0.7647058823529411,0.7647058823529411,0.7647058823529412,0.7534975927499292,0.3970916271209717
ExtraTreesClassifier,0.7610294117647058,0.7610294117647058,0.761029411764706,0.7515981735159818,0.2508718967437744
RandomForestClassifier,0.7573529411764706,0.7573529411764706,0.7573529411764706,0.7449420322800636,1.004014253616333
LGBMClassifier,0.7536764705882353,0.7536764705882353,0.7536764705882353,0.7490325690284376,1.0003938674926758
XGBClassifier,0.7352941176470589,0.7352941176470589,0.7352941176470589,0.7300248138957817,0.7947640419006348
CalibratedClassifierCV,0.7316176470588235,0.7316176470588236,0.7316176470588236,0.7280856716377031,1.8403851985931396
PassiveAggressiveClassifier,0.7242647058823529,0.7242647058823529,0.7242647058823529,0.7240819638871983,0.17073678970336914
BaggingClassifier,0.7205882352941176,0.7205882352941176,0.7205882352941175,0.7190693629049792,3.508193016052246
LogisticRegression,0.7169117647058824,0.7169117647058824,0.7169117647058824,0.7164480186290836,0.036527156829833984
GaussianNB,0.7169117647058824,0.7169117647058824,0.7169117647058824,0.711574743510294,0.024506807327270508
SGDClassifier,0.7132352941176471,0.7132352941176471,0.713235294117647,0.7119739342926961,0.05974006652832031
Perceptron,0.7132352941176471,0.7132352941176471,0.7132352941176472,0.7132197891321979,0.06085801124572754
LinearSVC,0.7095588235294118,0.7095588235294118,0.7095588235294118,0.7092404909137653,4.548051118850708
AdaBoostClassifier,0.7095588235294118,0.7095588235294117,0.7095588235294117,0.7078171953822933,2.419667959213257
BernoulliNB,0.6948529411764706,0.6948529411764706,0.6948529411764706,0.6908371335058817,0.028800010681152344
NearestCentroid,0.6764705882352942,0.6764705882352942,0.676470588235294,0.6739319965126417,0.02471184730529785
DecisionTreeClassifier,0.6727941176470589,0.6727941176470589,0.6727941176470589,0.671510957324106,0.4779019355773926
RidgeClassifierCV,0.6654411764705882,0.6654411764705882,0.6654411764705883,0.6650744895335778,0.1492140293121338
ExtraTreeClassifier,0.6617647058823529,0.6617647058823529,0.661764705882353,0.6602769481401033,0.022294044494628906
RidgeClassifier,0.6066176470588235,0.6066176470588236,0.6066176470588236,0.605417643948535,0.03545093536376953
QuadraticDiscriminantAnalysis,0.5477941176470589,0.5477941176470589,0.5477941176470588,0.5425946433698372,0.10867905616760254
LinearDiscriminantAnalysis,0.5441176470588235,0.5441176470588236,0.5441176470588235,0.5438957104992698,0.14770817756652832
LabelSpreading,0.5,0.5,0.5,0.3333333333333333,0.03650689125061035
LabelPropagation,0.5,0.5,0.5,0.3333333333333333,0.03565621376037598
DummyClassifier,0.5,0.5,0.5,0.3333333333333333,0.019514083862304688
